threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.2,0.11842105263157894,0.7745901639344263,0.20543478260869566,1407,55,189,4349
0.3,0.14348981399468555,0.6639344262295082,0.2359796067006555,967,82,162,4789
0.4,0.17834394904458598,0.5737704918032787,0.272108843537415,645,104,140,5111
0.5,0.20811287477954143,0.48360655737704916,0.2909987669543773,449,126,118,5307
0.6,0.23393316195372751,0.3729508196721312,0.28751974723538704,298,153,91,5458
0.7,0.24904214559386972,0.26639344262295084,0.25742574257425743,196,179,65,5560
0.8,0.3064516129032258,0.1557377049180328,0.20652173913043478,86,206,38,5670
0.9,0.4722222222222222,0.06967213114754098,0.12142857142857143,19,227,17,5737
